"abss","year","guaranteed_income","rental_assistance","children_risk","enh_cooperation","income_lag"
"SEGRIÀ (SENSE LLEIDA)",2020,0.8,1.5,37,1,14.62422737
"SELVA (SENSE BLANES I
LLORET DE MAR)",2013,1.3,0.5,45.4,0.85208531417638,13.64857475
"SELVA (SENSE BLANES I
LLORET DE MAR)",2014,1.5,0.5,37.8,0.941319363146804,13.61396428
"SELVA (SENSE BLANES I
LLORET DE MAR)",2016,1.5,1.5,70.2,0.731897359056003,14.34590709
"SELVA (SENSE BLANES I
LLORET DE MAR)",2018,1.1,1.9,34.1,0.744545718432511,15.02929047
"SELVA (SENSE BLANES I
LLORET DE MAR)",2020,1.1,1.7,33.6,0.81867953104841,15.95044366
"SOLSONÈS",2013,0.9,0.7,35.7,0.171580560815075,13.336
"SOLSONÈS",2014,1.8,1.2,64,1,13.558
"SOLSONÈS",2016,1.3,4.2,93.6,1,13.507
"SOLSONÈS",2018,1.2,4.6,36.6,1,14.111
"SOLSONÈS",2020,1.2,5,65,1,15.417
"TERRA ALTA",2013,0.1,0.1,87.6,1,12.649
"TERRA ALTA",2014,0.2,0,71,1,12.726
"TERRA ALTA",2018,0.4,1,89.6,1,13.594
"TERRA ALTA",2020,0.7,1.1,96.9,1,14.62
"URGELL",2013,0.3,0.7,37.6,1,13.084
"URGELL",2014,0.5,0.6,68,0.518155937717871,13.108
"URGELL",2016,0.8,2.1,56.8,1,13.474
"URGELL",2018,0.7,3,53.1,1,14.102
"URGELL",2020,1.3,2.4,57.4,1,15.039
"VALLÈS OCCIDENTAL (SENSE
11 DELS 23 MUNICIPIS)",2013,0.3,0.2,20.7,0,16.263
"VALLÈS OCCIDENTAL (SENSE
11 DELS 23 MUNICIPIS)",2014,0.3,0.3,20.8,1,16.063
"VALLÈS OCCIDENTAL (SENSE
11 DELS 23 MUNICIPIS)",2016,0.3,0.8,53.8,0.0476444358278402,17.048
"VALLÈS OCCIDENTAL (SENSE
11 DELS 23 MUNICIPIS)",2018,0.3,1.1,46.8,0.0329852478037461,17.621
"VALLÈS OCCIDENTAL (SENSE
11 DELS 23 MUNICIPIS)",2020,0.4,0.8,18.3,0.0332058546309437,18.783
"VALLÈS ORIENTAL (SENSE
AIGUAFREDA, GRANOLLERS
I MOLLET DEL VALLÈS)",2013,0.6,0.5,33.6,0.060694915439449,15.52149481
"VALLÈS ORIENTAL (SENSE
AIGUAFREDA, GRANOLLERS
I MOLLET DEL VALLÈS)",2014,0.7,0.5,24.6,0.0411231727566779,15.28470083
"VALLÈS ORIENTAL (SENSE
AIGUAFREDA, GRANOLLERS
I MOLLET DEL VALLÈS)",2016,0.8,1.7,42.6,0.0578315925686293,16.53074859
"VALLÈS ORIENTAL (SENSE
AIGUAFREDA, GRANOLLERS
I MOLLET DEL VALLÈS)",2018,0.7,2.3,33,0.0578513600623491,16.95742242
"VALLÈS ORIENTAL (SENSE
AIGUAFREDA, GRANOLLERS
I MOLLET DEL VALLÈS)",2020,0.9,1.8,23.4,0.088866366737529,18.11945294
